"Disease","Report Year","DHBName","Age Group (year)","Case Count","Case rate per 100,000"
"Leptospirosis",2006,"Waitemata","40–44",0,0
"Trichinosis",2006,"Waitemata","40–44",0,0
"Yersiniosis",2006,"Waitemata","40–44",2,5
"VTEC/STEC infection",2006,"Waitemata","40–44",0,0
"Hydatid disease",2006,"Waitemata","40–44",0,0
"Paratyphoid fever",2006,"Waitemata","40–44",0,0
"Rabies and other lyssaviruses",2006,"Waitemata","40–44",0,0
"Rubella",2006,"Waitemata","40–44",0,0
"Giardiasis",2006,"Waitemata","40–44",13,32.3
"Hepatitis C",2006,"Waitemata","40–44",0,0
"Toxic shellfish poisoning",2006,"Waitemata","40–44",0,0
"Salmonellosis",2006,"Waitemata","40–44",8,19.9
"Cryptosporidiosis",2006,"Waitemata","40–44",3,7.5
"Legionellosis",2006,"Waitemata","40–44",1,2.5
"Typhoid fever",2006,"Waitemata","40–44",1,2.5
"Shigellosis",2006,"Waitemata","40–44",1,2.5
"Measles",2006,"Waitemata","40–44",0,0
"Pertussis",2006,"Waitemata","40–44",1,2.5
"Malaria",2006,"Waitemata","40–44",0,0
"Listeriosis",2006,"Waitemata","40–44",1,2.5
"Leprosy",2006,"Waitemata","40–44",0,0
"Campylobacteriosis",2006,"Waitemata","40–44",173,430.3
"Haemophilus influenzae type b",2006,"Waitemata","40–44",0,0
"Tetanus",2006,"Waitemata","40–44",0,0
"Tuberculosis disease",2006,"Waitemata","40–44",3,7.5
"Diphtheria",2006,"Waitemata","40–44",0,0
"Acute gastroenteritis",2006,"Waitemata","40–44",5,12.4
"Rickettsial disease",2006,"Waitemata","40–44",0,0
"Cholera",2006,"Waitemata","40–44",0,0
"Hepatitis B",2006,"Waitemata","40–44",0,0
"Meningococcal disease",2006,"Waitemata","40–44",0,0
"Arboviral diseases",2006,"Waitemata","40–44",0,0
"Mpox",2006,"Waitemata","40–44",0,0
"Invasive pneumococcal disease",2006,"Waitemata","40–44",0,0
"Poliomyelitis",2006,"Waitemata","40–44",0,0
"Cysticercosis",2006,"Waitemata","40–44",0,0
"Mumps",2006,"Waitemata","40–44",0,0
"Taeniasis",2006,"Waitemata","40–44",0,0
"Q fever",2006,"Waitemata","40–44",0,0
"Meningoencephalitis - primary amoebic",2006,"Waitemata","40–44",0,0
"Hepatitis NOS",2006,"Waitemata","45–49",0,0
"Trichinosis",2006,"Waitemata","45–49",0,0
"Hydatid disease",2006,"Waitemata","45–49",0,0
"Leptospirosis",2006,"Waitemata","45–49",1,2.8
"Paratyphoid fever",2006,"Waitemata","45–49",0,0
"Rabies and other lyssaviruses",2006,"Waitemata","45–49",0,0
"Brucellosis",2006,"Waitemata","45–49",0,0
"Meningococcal disease",2006,"Waitemata","45–49",0,0
"Toxic shellfish poisoning",2006,"Waitemata","45–49",0,0
"Rubella",2006,"Waitemata","45–49",0,0
"Tuberculosis disease",2006,"Waitemata","45–49",1,2.8
"Leprosy",2006,"Waitemata","45–49",0,0
"Measles",2006,"Waitemata","45–49",0,0
"Taeniasis",2006,"Waitemata","45–49",0,0
"Giardiasis",2006,"Waitemata","45–49",3,8.3
"Hepatitis A",2006,"Waitemata","45–49",1,2.8
"Cryptosporidiosis",2006,"Waitemata","45–49",1,2.8
